corpus_id,jurisdiction,source_title,source_url,candidate_type,fetch_decision,http_status,content_type,byte_length,raw_sha256,normalized_text_sha256,normalized_text_length,chunk_count,legal_signal_score,suspicious_gate_page,elapsed_ms,error
EU_AI_ACT,EU,Regulation (EU) 2024/1689 — Artificial Intelligence Act,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,OFFICIAL_EU_EUR_LEX_ELI,FETCH_OK,200,text/html; charset=UTF-8,1532530,sha256:fcdb3f87c3eeedc6e562f6e23ae5d136322feae09e9618620d90434b92de30b1,sha256:54028f77574185c6a1d7c1ee0974eed04496208a46d6caa0f228a1c2e2d4b2ae,590129,547,19,False,6088.830499909818,
EU_DMA,EU,Regulation (EU) 2022/1925 — Digital Markets Act,https://eur-lex.europa.eu/eli/reg/2022/1925/oj/eng,OFFICIAL_EU_EUR_LEX_ELI,FETCH_OK,200,text/html; charset=UTF-8,782271,sha256:adbdfe90cb377acbc388629b9c8d2dab3a24ae2578c7255a4a4213afe50eabed,sha256:8513dfc0618a654538aaa888a747780c18f356aebd5190ba54a5c28699d12d93,264583,245,16,False,2523.819399997592,
US_COPPA,US,16 CFR Part 312 — Children's Online Privacy Protection Rule,https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-312,OFFICIAL_US_ECFR,FETCH_OK,200,text/html; charset=utf-8,158403,sha256:d9dc935f68f964c2d2fb0d09b9feadf64780a8da17bad9cc4a0d9f715b45215d,sha256:7956a2684d989701b0dcea208b86e6e4abb03cef097e8f746acb6f56897323f2,52389,49,18,False,1988.1764000747353,
US_CDA230,US,47 U.S.C. Section 230,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title47-section230&num=0&edition=prelim,OFFICIAL_US_CODE_HOUSE,FETCH_ERROR,,,0,,,0,0,0,False,15090.322100091726,URLError(TimeoutError('timed out'))
US_CDA230,US,47 U.S.C. Section 230,https://www.law.cornell.edu/uscode/text/47/230,PUBLIC_REFERENCE_CORNELL_LII_USCODE,FETCH_OK,200,text/html; charset=utf-8,59259,sha256:af692804591fcce5b7486b0658b49c1bc25dc439970b9fa94472024d3a495583,sha256:d922ae0bec0c3050b78b3b0d83972517b45e740db0b0a253e1c4b563dde9cc06,11691,11,15,False,2342.4525998998433,
US_FTC_ACT5,US,15 U.S.C. Section 45 — FTC Act Section 5,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title15-section45&num=0&edition=prelim,OFFICIAL_US_CODE_HOUSE,FETCH_ERROR,,,0,,,0,0,0,False,15018.154599936679,URLError(TimeoutError('timed out'))
US_FTC_ACT5,US,15 U.S.C. Section 45 — FTC Act Section 5,https://www.law.cornell.edu/uscode/text/15/45,PUBLIC_REFERENCE_CORNELL_LII_USCODE,FETCH_OK,200,text/html; charset=utf-8,113896,sha256:340be2b2e3c84930e84e626466553b5008aa92a9241c46830b8a4310d9f1cf45,sha256:6c5fb92f71feef17b0c7c0f3f60efc6f79f01623e844de0ea0898132547405f1,39692,37,13,False,1864.130200119689,
US_CCPA,US-CA,California Consumer Privacy Act / CCPA,https://oag.ca.gov/privacy/ccpa,OFFICIAL_CA_OAG_REFERENCE,FETCH_ERROR,,,0,,,0,0,0,False,11156.158199999481,"URLError(gaierror(11001, 'getaddrinfo failed'))"
US_CCPA,US-CA,California Consumer Privacy Act / CCPA,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,OFFICIAL_CA_LEGINFO_REFERENCE,FETCH_ERROR,,,0,,,0,0,0,False,772.5170999765396,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)'))"
