corpus_id,jurisdiction,source_title,source_url,source_type,hard_gate,fetch_decision,http_status,content_type,byte_length,raw_sha256,normalized_text_sha256,normalized_text_length,suspicious_captcha_or_js_gate,elapsed_ms,error
EU_AI_ACT,EU,Regulation (EU) 2024/1689 — Artificial Intelligence Act,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,OFFICIAL_REFERENCE_CANDIDATE,False,FETCH_WARN_GATE_PAGE,202,text/html; charset=UTF-8,2035,sha256:2b24d131453171854488cc7ac9915c45f0204ed379689c9d62b8f36b43fdce78,sha256:da67c9e92a807cda8cfb373c55a78c15720b8f412aadd20d7c98384a2f817383,157,True,1424.2519000545144,
EU_DMA,EU,Regulation (EU) 2022/1925 — Digital Markets Act,https://eur-lex.europa.eu/eli/reg/2022/1925/oj/eng,OFFICIAL_REFERENCE_CANDIDATE,False,FETCH_WARN_GATE_PAGE,202,text/html; charset=UTF-8,2035,sha256:590e6b1f8b413ff92b7437b85dc61f6a171537bcd3c6c81f3c52c335cdad65d1,sha256:da67c9e92a807cda8cfb373c55a78c15720b8f412aadd20d7c98384a2f817383,157,True,722.9282001499087,
US_COPPA,US,FTC — Children's Online Privacy Protection Rule,https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa,OFFICIAL_REFERENCE_CANDIDATE,False,FETCH_OK,200,text/html; charset=UTF-8,1012296,sha256:b27e5cfbf039574753010fcd583f8525b7e0f1e02f2f9e9cdab1580f0f0880be,sha256:ed7aa4b7d6f39403d6fae3d1793961b0b99cf216cbc4ec6d2ffc7e70775074eb,14061,False,1840.0268000550568,
US_CDA230,US,47 U.S.C. Section 230,https://www.govinfo.gov/link/uscode/47/230,OFFICIAL_REFERENCE_CANDIDATE,False,FETCH_OK,200,application/pdf,142083,sha256:ac3cf3e4c41bf8d224b2cc06fb771a9ebd025c09118efe98a7747c8af8ab0433,sha256:d42d5780a66c82c11a72e818d7b6459a05dcf2b9c4054c22d3c693c672044cdc,51688,False,3089.267099974677,
US_FTC_ACT5,US,15 U.S.C. Section 45 — FTC Act Section 5,https://www.govinfo.gov/link/uscode/15/45,OFFICIAL_REFERENCE_CANDIDATE,False,FETCH_OK,200,application/pdf,172748,sha256:d511071d1408df866bf284999d9967ed69d0127da268c3667e9e3ac6a03af3e8,sha256:df3476c8db71ca072f2ca9d4e605325aded9daa35c8293e7314f17d6ed7e8718,68717,False,2006.4405999146402,
US_CCPA,US-CA,California Attorney General — CCPA,https://oag.ca.gov/privacy/ccpa,OFFICIAL_REFERENCE_CANDIDATE,False,FETCH_ERROR,,,0,,,0,False,11154.71119992435,"URLError(gaierror(11001, 'getaddrinfo failed'))"
