mode,target_correct,wrong_corpus_collision,wrong_jurisdiction_escape,p95_latency_ms,target_correct_gap_vs_hsrag,wrong_corpus_collision_gap_vs_hsrag,wrong_jurisdiction_escape_gap_vs_hsrag,latency_gap_vs_hsrag_ms
bm25_domain_hint_topk,0.9079391891891891,0.019566441441441443,0.01097972972972973,6.7050616002234165,0.09206081081081086,0.019566441441441443,0.01097972972972973,0.7806850004271837
bm25_global_topk,0.8760557432432432,0.47740709459459457,0.03265765765765766,7.362108,0.1239442567567568,0.47740709459459457,0.03265765765765766,1.4377314002037673
tfidf_domain_hint_topk,0.9066019144144144,0.02005855855855856,0.011050112612612613,6.127217,0.0933980855855856,0.02005855855855856,0.011050112612612613,0.20284040020376715
tfidf_global_topk,0.8669763513513513,0.5244228603603603,0.04490427927927928,6.699384,0.13302364864864868,0.5244228603603603,0.04490427927927928,0.7750074002037675
