corpus_id,jurisdiction,source_title,selected_source_url,selected_candidate_type,source_type,hard_gate,fetch_decision,rebuild_usable,http_status,content_type,byte_length,raw_sha256,normalized_text_sha256,normalized_text_length,chunk_count,legal_signal_score,suspicious_gate_page,elapsed_ms,error
EU_AI_ACT,EU,Regulation (EU) 2024/1689 — Artificial Intelligence Act,https://artificialintelligenceact.eu/the-act/,PUBLIC_REFERENCE_AI_ACT_EXPLORER,OFFICIAL_EU_EUR_LEX_ELI_WITH_PUBLIC_REFERENCE_FALLBACK,False,FETCH_OK,True,200,text/html; charset=UTF-8,220075,sha256:f66a5efc9e571abd3d0f6bbe9296534aff82c2439b37ee29909f68f3a4668de1,sha256:9250fec761dcf42947492c640979dbffb74a223eb5fdb1512bf8990427b1f5f8,7183,7,10,False,3667.8071999922395,
EU_DMA,EU,Regulation (EU) 2022/1925 — Digital Markets Act,https://digital-markets-act.ec.europa.eu/about-dma_en,OFFICIAL_EC_PUBLIC_REFERENCE,OFFICIAL_EU_EUR_LEX_ELI_WITH_PUBLIC_REFERENCE_FALLBACK,False,FETCH_OK,True,200,text/html; charset=UTF-8,87495,sha256:81f13c129de0317b5744230d14b028d2a79fc4dffe23e2e2910a4eeab73d8ad5,sha256:b39fac176b39f0cdf70b4d60ca0d2a5fb6feaad845b00f608c39c06828b12be0,6032,6,10,False,2763.5651000309736,
US_COPPA,US,16 CFR Part 312 — Children's Online Privacy Protection Rule,https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-312,OFFICIAL_US_ECFR,OFFICIAL_US_ECFR_WITH_PUBLIC_REFERENCE_FALLBACK,False,FETCH_OK,True,200,text/html; charset=utf-8,158403,sha256:2845a9afcde4eb449de5ea9c9ed0aa78a16d1a93beee84b4035329f0b7a8f0a9,sha256:7956a2684d989701b0dcea208b86e6e4abb03cef097e8f746acb6f56897323f2,52389,49,18,False,1296.7614999506623,
US_CDA230,US,47 U.S.C. Section 230,https://www.law.cornell.edu/uscode/text/47/230,PUBLIC_REFERENCE_CORNELL_LII_USCODE,OFFICIAL_US_CODE_WITH_PUBLIC_REFERENCE_FALLBACK,False,FETCH_OK,True,200,text/html; charset=utf-8,59259,sha256:af692804591fcce5b7486b0658b49c1bc25dc439970b9fa94472024d3a495583,sha256:d922ae0bec0c3050b78b3b0d83972517b45e740db0b0a253e1c4b563dde9cc06,11691,11,15,False,17260.077100014314,
US_FTC_ACT5,US,15 U.S.C. Section 45 — FTC Act Section 5,https://www.law.cornell.edu/uscode/text/15/45,PUBLIC_REFERENCE_CORNELL_LII_USCODE,OFFICIAL_US_CODE_WITH_PUBLIC_REFERENCE_FALLBACK,False,FETCH_OK,True,200,text/html; charset=utf-8,113896,sha256:340be2b2e3c84930e84e626466553b5008aa92a9241c46830b8a4310d9f1cf45,sha256:6c5fb92f71feef17b0c7c0f3f60efc6f79f01623e844de0ea0898132547405f1,39692,37,13,False,17559.61599992588,
US_CCPA,US-CA,California Consumer Privacy Act / CCPA,https://oag.ca.gov/privacy/ccpa,OFFICIAL_CA_OAG_REFERENCE,OFFICIAL_CA_REFERENCE_WITH_PUBLIC_REFERENCE_FALLBACK,False,FETCH_ERROR,False,,,0,,,0,0,0,False,11967.013099929318,"URLError(gaierror(11001, 'getaddrinfo failed'))"
