mode,corpus_size,target_correct_rate,candidate_reduction_ratio,latency_p99_ms,actual_elapsed_p99_ms,estimated_token_cost_usd_per_1k_queries,esi_mean,returned_domain_salt_valid_rate
CTHC_PRUNED_HYBRID,1000,1.0,0.999333,2.64,4.6878,0.00153333,0.666667,1.0
CTHC_PRUNED_HYBRID,5000,1.0,0.999867,2.64,4.4743,0.00153333,0.666667,1.0
CTHC_PRUNED_HYBRID,10000,1.0,0.999933,2.64,6.9725,0.00153333,0.666667,1.0
CTHC_PRUNED_HYBRID,50000,1.0,0.999987,2.64,16.9502,0.00153333,0.666667,1.0
HYBRID_BM25_VECTOR,1000,1.0,0.0,14.26,1908.8526,0.00223333,0.333333,1.0
HYBRID_BM25_VECTOR,5000,1.0,0.0,17.056,7025.3069,0.00223333,0.333333,1.0
HYBRID_BM25_VECTOR,10000,1.0,0.0,18.26,17134.4203,0.00223333,0.333333,1.0
HYBRID_BM25_VECTOR,50000,1.0,0.0,21.056,70943.1268,0.00223333,0.333333,1.0
